	sort	permil	freq
51	боршися	0.24580170684705235	1.0
52	ослепленным	0.24580170684705235	1.0
53	предетательством	0.737405120541157	3.0
54	милутина	0.24580170684705235	1.0
55	исполняющего	0.24580170684705235	1.0
56	ослепй	0.24580170684705235	1.0
57	пощадевый	0.24580170684705235	1.0
58	стецемея	0.24580170684705235	1.0
59	великомилостиваго	0.24580170684705235	1.0
60	насадившии	0.24580170684705235	1.0
61	чудотворивая	0.24580170684705235	1.0
62	возглашу	0.24580170684705235	1.0
63	изобразителя	0.24580170684705235	1.0
64	присноживое	0.24580170684705235	1.0
65	народъ	0.24580170684705235	1.0
66	играем	0.24580170684705235	1.0
67	бедрам	0.24580170684705235	1.0
68	чудона	0.24580170684705235	1.0
69	персянину	0.4916034136941047	2.0
70	есвятаго	0.24580170684705235	1.0
71	грехй	0.24580170684705235	1.0
72	императоруеретику	0.24580170684705235	1.0
73	уносит	0.24580170684705235	1.0
74	почтенная	0.4916034136941047	2.0
75	кирилловы	0.4916034136941047	2.0
76	идив	0.24580170684705235	1.0
77	волковъ	0.24580170684705235	1.0
78	всенепорбчная	0.24580170684705235	1.0
79	удолием	0.24580170684705235	1.0
80	рудненская	0.24580170684705235	1.0
81	трезвимый	0.24580170684705235	1.0
82	слабящаго	0.24580170684705235	1.0
83	изъясняюща	0.24580170684705235	1.0
84	киринийска	0.24580170684705235	1.0
85	прозираше	0.4916034136941047	2.0
86	ужаснейшия	0.24580170684705235	1.0
87	предлагаемо	0.24580170684705235	1.0
88	услаждавши	0.24580170684705235	1.0
89	волнующимся	0.737405120541157	3.0
90	слагаше	0.24580170684705235	1.0
91	напояем	0.24580170684705235	1.0
92	целебное	0.4916034136941047	2.0
93	старцева	0.4916034136941047	2.0
94	осоговскаго	0.24580170684705235	1.0
95	трезви	0.24580170684705235	1.0
96	приведя	0.4916034136941047	2.0
97	обходим	0.24580170684705235	1.0
98	кефаларстей	0.737405120541157	3.0
99	младенцм	0.24580170684705235	1.0
100	стахиры	0.24580170684705235	1.0
101	премилосердно	0.24580170684705235	1.0
102	богобоязливая	0.24580170684705235	1.0
103	охранявши	0.24580170684705235	1.0
104	систая	0.4916034136941047	2.0
105	тожественный	0.24580170684705235	1.0
106	трудолюбии	0.24580170684705235	1.0
107	представить	0.24580170684705235	1.0
108	новоторжская	0.24580170684705235	1.0
109	маримофкадим	0.24580170684705235	1.0
110	царюющему	0.24580170684705235	1.0
111	псаломския	0.24580170684705235	1.0
112	богомудро	0.9832068273882094	4.0
113	плеюмене	0.24580170684705235	1.0
114	разбиение	0.24580170684705235	1.0
115	облагоухающия	0.24580170684705235	1.0
116	премудряеши	0.24580170684705235	1.0
117	воплобщься	0.24580170684705235	1.0
118	неукрощенный	0.24580170684705235	1.0
119	амже	0.9832068273882094	4.0
120	землик	0.4916034136941047	2.0
121	отребр	0.24580170684705235	1.0
122	преизряднаго	0.737405120541157	3.0
123	разсеченная	0.4916034136941047	2.0
124	рцемрадуйся	0.24580170684705235	1.0
125	велеречующим	0.24580170684705235	1.0
126	истиннен	0.24580170684705235	1.0
127	богозданна	0.24580170684705235	1.0
128	зристе	0.24580170684705235	1.0
129	поразившу	0.24580170684705235	1.0
130	водворения	0.4916034136941047	2.0
131	возярися	0.9832068273882094	4.0
132	вышагося	0.24580170684705235	1.0
133	собри	0.24580170684705235	1.0
134	возбудившаго	0.24580170684705235	1.0
135	блюдимый	0.24580170684705235	1.0
136	ефиопскаго	0.24580170684705235	1.0
137	возсоздавшим	0.24580170684705235	1.0
138	возносящия	0.9832068273882094	4.0
139	всечеловечество	0.24580170684705235	1.0
140	иебес	0.24580170684705235	1.0
141	сокрывай	0.24580170684705235	1.0
